Country,workout_2018_2023,home_workout_2018_2023,gym_workout_2018_2023,home_gym_2018_2023,workout_worldwide,home_workout_worldwide,gym_workout_worldwide,home_gym_worldwide,year
Honduras,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Cameroon,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Azerbaijan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Libya,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Sudan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Moldova,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Vietnam,8.0,36.0,31.0,33.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
South Korea,8.0,37.0,34.0,29.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Poland,8.0,40.0,40.0,20.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Dominican Republic,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Martinique,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Togo,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
France,6.0,31.0,25.0,44.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Syria,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Spain,6.0,35.0,35.0,30.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Mexico,6.0,33.0,38.0,29.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Cuba,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
El Salvador,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Nicaragua,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Senegal,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Guatemala,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Mauritania,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Congo - Brazzaville,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Mali,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Gabon,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Turkey,5.0,52.0,29.0,19.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Turkmenistan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Benin,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Congo - Kinshasa,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Chile,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Yemen,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Taiwan,4.0,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Ecuador,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Paraguay,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Colombia,4.0,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Uzbekistan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Côte d’Ivoire,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Bolivia,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Uruguay,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Iran,4.0,58.0,25.0,17.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Peru,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Tajikistan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Guinea,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Venezuela,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Ukraine,2.0,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Argentina,2.0,32.0,32.0,36.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Kazakhstan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Kyrgyzstan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Russia,2.0,39.0,28.0,33.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Belarus,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Burkina Faso,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Brazil,2.0,41.0,30.0,29.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Japan,1.0,34.0,37.0,29.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Nauru,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
